ID;Peso_kg;PesoLana_kg;CondicionCorporal
OVEJA_01;58.97;3.58;2.3
OVEJA_02;53.89;2.69;3.6
OVEJA_03;60.18;3.76;2.1
OVEJA_04;67.18;3.08;4.0
OVEJA_05;53.13;3.3;3.5
OVEJA_06;53.13;3.08;2.4
OVEJA_07;67.63;4.8;2.0
OVEJA_08;61.14;3.49;3.6
OVEJA_09;51.24;2.76;3.4
OVEJA_10;59.34;4.08;3.5
OVEJA_11;51.29;2.65;3.5
OVEJA_12;51.27;3.65;2.1
OVEJA_13;56.94;2.13;2.7
OVEJA_14;39.69;2.57;2.2
OVEJA_15;41.2;3.64;3.7
OVEJA_16;50.5;4.02;3.2
OVEJA_17;46.9;3.62;2.7
OVEJA_18;57.51;3.42;2.1
OVEJA_19;47.74;3.29;2.6
OVEJA_20;43.7;2.47;2.7
OVEJA_21;66.73;3.0;3.5
OVEJA_22;53.19;3.18;3.3
OVEJA_23;55.54;4.24;3.8
OVEJA_24;43.6;3.74;2.9
OVEJA_25;50.64;2.27;2.2
